17/10/23 05:49:26 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/23 05:49:27 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-572-hw3-m/10.138.0.2:8032
17/10/23 05:49:28 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/23 05:49:29 INFO input.FileInputFormat: Total input files to process : 3035
17/10/23 05:49:30 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/23 05:49:30 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508690163152_0023
17/10/23 05:49:30 INFO impl.YarnClientImpl: Submitted application application_1508690163152_0023
17/10/23 05:49:30 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-572-hw3-m:8088/proxy/application_1508690163152_0023/
17/10/23 05:49:30 INFO mapreduce.Job: Running job: job_1508690163152_0023
17/10/23 05:49:38 INFO mapreduce.Job: Job job_1508690163152_0023 running in uber mode : false
17/10/23 06:43:46 INFO mapreduce.Job:  map 74% reduce 0%
17/10/23 06:44:26 INFO mapreduce.Job:  map 75% reduce 0%
17/10/23 06:45:04 INFO mapreduce.Job:  map 76% reduce 0%
17/10/23 06:45:45 INFO mapreduce.Job:  map 77% reduce 0%
17/10/23 06:46:24 INFO mapreduce.Job:  map 78% reduce 0%
17/10/23 06:47:01 INFO mapreduce.Job:  map 79% reduce 0%
17/10/23 06:47:39 INFO mapreduce.Job:  map 80% reduce 0%
17/10/23 06:48:17 INFO mapreduce.Job:  map 81% reduce 0%
17/10/23 06:48:53 INFO mapreduce.Job:  map 82% reduce 0%
17/10/23 06:49:31 INFO mapreduce.Job:  map 83% reduce 0%
17/10/23 06:50:12 INFO mapreduce.Job:  map 84% reduce 0%
17/10/23 06:50:48 INFO mapreduce.Job:  map 85% reduce 0%
17/10/23 06:51:26 INFO mapreduce.Job:  map 86% reduce 0%
17/10/23 06:52:07 INFO mapreduce.Job:  map 87% reduce 0%
17/10/23 06:52:43 INFO mapreduce.Job:  map 88% reduce 0%
17/10/23 06:53:19 INFO mapreduce.Job:  map 89% reduce 0%
17/10/23 06:54:01 INFO mapreduce.Job:  map 90% reduce 0%
17/10/23 06:54:40 INFO mapreduce.Job:  map 91% reduce 0%
17/10/23 06:55:16 INFO mapreduce.Job:  map 92% reduce 0%
17/10/23 06:55:55 INFO mapreduce.Job:  map 93% reduce 0%
17/10/23 06:56:32 INFO mapreduce.Job:  map 94% reduce 0%
17/10/23 06:57:12 INFO mapreduce.Job:  map 95% reduce 0%
17/10/23 06:57:52 INFO mapreduce.Job:  map 95% reduce 4%
17/10/23 06:57:55 INFO mapreduce.Job:  map 95% reduce 11%
17/10/23 06:57:57 INFO mapreduce.Job:  map 95% reduce 15%
17/10/23 06:58:05 INFO mapreduce.Job:  map 96% reduce 15%
17/10/23 06:58:38 INFO mapreduce.Job:  map 96% reduce 16%
17/10/23 06:59:18 INFO mapreduce.Job:  map 97% reduce 16%
17/10/23 07:00:28 INFO mapreduce.Job:  map 98% reduce 16%
17/10/23 07:01:29 INFO mapreduce.Job:  map 99% reduce 16%
17/10/23 07:02:08 INFO mapreduce.Job:  map 99% reduce 17%
17/10/23 07:02:37 INFO mapreduce.Job:  map 100% reduce 17%
17/10/23 07:03:14 INFO mapreduce.Job:  map 100% reduce 18%
17/10/23 07:03:16 INFO mapreduce.Job:  map 100% reduce 21%
17/10/23 07:03:19 INFO mapreduce.Job:  map 100% reduce 25%
17/10/23 07:03:20 INFO mapreduce.Job:  map 100% reduce 29%
17/10/23 07:03:22 INFO mapreduce.Job:  map 100% reduce 32%
17/10/23 07:03:26 INFO mapreduce.Job:  map 100% reduce 33%
17/10/23 07:03:28 INFO mapreduce.Job:  map 100% reduce 36%
17/10/23 07:03:29 INFO mapreduce.Job:  map 100% reduce 45%
17/10/23 07:03:32 INFO mapreduce.Job:  map 100% reduce 47%
17/10/23 07:03:34 INFO mapreduce.Job:  map 100% reduce 48%
17/10/23 07:03:35 INFO mapreduce.Job:  map 100% reduce 54%
17/10/23 07:03:37 INFO mapreduce.Job:  map 100% reduce 55%
17/10/23 07:03:38 INFO mapreduce.Job:  map 100% reduce 56%
17/10/23 07:03:40 INFO mapreduce.Job:  map 100% reduce 58%
17/10/23 07:03:41 INFO mapreduce.Job:  map 100% reduce 60%
17/10/23 07:03:43 INFO mapreduce.Job:  map 100% reduce 61%
17/10/23 07:03:44 INFO mapreduce.Job:  map 100% reduce 62%
17/10/23 07:03:46 INFO mapreduce.Job:  map 100% reduce 64%
17/10/23 07:03:47 INFO mapreduce.Job:  map 100% reduce 66%
17/10/23 07:03:49 INFO mapreduce.Job:  map 100% reduce 67%
17/10/23 07:03:50 INFO mapreduce.Job:  map 100% reduce 68%
17/10/23 07:03:52 INFO mapreduce.Job:  map 100% reduce 70%
17/10/23 07:03:53 INFO mapreduce.Job:  map 100% reduce 72%
17/10/23 07:03:56 INFO mapreduce.Job:  map 100% reduce 73%
17/10/23 07:03:58 INFO mapreduce.Job:  map 100% reduce 75%
17/10/23 07:03:59 INFO mapreduce.Job:  map 100% reduce 77%
17/10/23 07:04:02 INFO mapreduce.Job:  map 100% reduce 79%
17/10/23 07:04:05 INFO mapreduce.Job:  map 100% reduce 80%
17/10/23 07:04:08 INFO mapreduce.Job:  map 100% reduce 81%
17/10/23 07:04:11 INFO mapreduce.Job:  map 100% reduce 83%
17/10/23 07:04:13 INFO mapreduce.Job:  map 100% reduce 84%
17/10/23 07:04:14 INFO mapreduce.Job:  map 100% reduce 85%
17/10/23 07:04:17 INFO mapreduce.Job:  map 100% reduce 86%
17/10/23 07:04:19 INFO mapreduce.Job:  map 100% reduce 87%
17/10/23 07:04:23 INFO mapreduce.Job:  map 100% reduce 89%
17/10/23 07:04:25 INFO mapreduce.Job:  map 100% reduce 90%
17/10/23 07:04:29 INFO mapreduce.Job:  map 100% reduce 92%
17/10/23 07:04:31 INFO mapreduce.Job:  map 100% reduce 93%
17/10/23 07:04:35 INFO mapreduce.Job:  map 100% reduce 95%
17/10/23 07:04:38 INFO mapreduce.Job:  map 100% reduce 96%
17/10/23 07:04:40 INFO mapreduce.Job:  map 100% reduce 97%
17/10/23 07:04:41 INFO mapreduce.Job:  map 100% reduce 98%
17/10/23 07:04:47 INFO mapreduce.Job:  map 100% reduce 99%
17/10/23 07:04:52 INFO mapreduce.Job:  map 100% reduce 100%
17/10/23 07:04:53 INFO mapreduce.Job: Job job_1508690163152_0023 completed successfully
17/10/23 07:04:54 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=3420439283
		FILE: Number of bytes written=7277451377
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=235895406
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=445818
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=3035
		Launched reduce tasks=8
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=121723880
		Total time spent by all reduces in occupied slots (ms)=7856260
		Total time spent by all map tasks (ms)=30430970
		Total time spent by all reduce tasks (ms)=1964065
		Total vcore-milliseconds taken by all map tasks=30430970
		Total vcore-milliseconds taken by all reduce tasks=1964065
		Total megabyte-milliseconds taken by all map tasks=62322626560
		Total megabyte-milliseconds taken by all reduce tasks=4022405120
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420584909
		Input split bytes=445818
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420584909
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=626408
		CPU time spent (ms)=5172620
		Physical memory (bytes) snapshot=1449460760576
		Virtual memory (bytes) snapshot=10629874327552
		Total committed heap usage (bytes)=1305838354432
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=235895406
Job output is complete
